Designator,Mid X,Mid Y,Rotation,Layer
C1,134.874,-54.458,0.0,top
C10,121.92,-38.583,180.0,top
C11,117.348,-65.126,270.0,top
C12,117.094,-41.25,90.0,top
C13,118.491,-71.603,90.0,top
C15,150.165,-108.546,270.0,top
C16,150.165,-105.257,270.0,top
C17,151.13,-115.685,270.0,top
C18,146.558,-112.304,90.0,top
C2,140.589,-40.615,180.0,top
C3,133.35,-41.377,180.0,top
C4,144.272,-115.418,0.0,top
C5,117.221,-88.24,180.0,top
C6,133.604,-89.764,0.0,top
C7,130.81,-90.272,270.0,top
C8,121.666,-76.782,90.0,top
C9,150.114,-29.82,90.0,top
D1,133.73,-87.224,0.0,top
D2,132.3,-84.684,0.0,top
J1,132.4515,-71.857,180.0,bottom
J2,124.46,-50.902,180.0,top
J3,124.46,-68.682,180.0,top
J4,124.46,-86.462,180.0,top
J5,123.952,-32.614,90.0,top
J6,115.49,-111.219,0.0,bottom
J7,141.732,-32.614,90.0,top
J8,129.045,-117.45,90.0,bottom
Q1,132.9615,-34.9,180.0,top
R1,149.606,-33.63,270.0,top
R13,123.696,-78.715,0.0,top
R14,118.491,-65.126,90.0,top
R15,117.981,-63.221,0.0,top
R16,115.697,-63.221,180.0,top
R17,116.332,-75.54,270.0,top
R18,119.381999,-76.175,180.0,top
R19,117.602,-43.536,270.0,top
R2,151.638,-44.806,270.0,top
R20,116.205,-43.536,270.0,top
R21,115.697,-41.25,270.0,top
R25,132.629,-31.852,0.0,top
R26,117.729,-85.954,90.0,top
R3,151.638,-48.362,90.0,top
R4,150.749,-40.488,270.0,top
R5,135.255,-55.855,180.0,top
R6,139.954,-42.012,180.0,top
R7,127.0,-39.726,90.0,top
R8,132.756,-30.074,180.0,top
RV1,144.015,-85.954,90.0,top
RV2,144.015,-50.394,90.0,top
RV3,144.015,-68.174,90.0,top
U1,146.239,-40.361,270.0,top
U2,132.461,-49.7565,0.0,top
U4,117.0455,-90.719,0.0,top
U5,122.1175,-40.4695,270.0,top
U6,116.4775,-71.6595,180.0,top
U7,144.729,-106.782,0.0,top
U8,149.86,-112.304,180.0,top
